time,soil_temperature,soil_moisture,light,air_temperature,rh
2020-11-15 17:40:00,11.6875,3031.0,20.0,10.040817260742188,92.44678497314453
2020-11-15 18:00:00,11.625,2999.0,8.0,9.589533805847168,97.80269622802734
2020-11-15 18:20:00,11.5625,2999.0,4.0,9.546809196472168,98.5076675415039
2020-11-15 18:40:00,11.5,3026.0,0.0,9.998092651367188,93.87045288085938
2020-11-15 19:00:00,11.4375,3005.0,0.0,9.845881462097168,98.08956909179688
2020-11-15 19:20:00,11.375,2999.0,0.0,9.405279159545898,98.72129821777344
2020-11-15 19:40:00,11.3125,3026.0,0.0,8.970016479492188,97.72945404052734
2020-11-15 20:00:00,11.25,3003.0,0.0,8.78309154510498,97.6882553100586
2020-11-15 20:20:00,11.1875,2999.0,0.0,8.588160514831543,96.66132354736328
2020-11-15 20:40:00,11.125,3035.0,0.0,8.545435905456543,94.58914947509766
2020-11-15 21:00:00,11.0625,2999.0,0.0,8.756388664245605,92.92134094238281
2020-11-15 21:20:00,11.0,3003.0,0.0,9.167617797851562,90.84306335449219
2020-11-15 21:40:00,10.9878045418087,3005.3,0.0,10.846082474640545,90.50515723825089
2020-11-15 22:00:00,11.0625,3007.6,0.0,9.61047524216811,88.85386306248081
2020-11-15 22:20:00,10.8125,3009.9,0.0,10.09093439832033,88.79358579030792
2020-11-15 22:40:00,10.90778749627276,3012.2,0.0,9.431365485483461,89.27886072257832
2020-11-15 23:00:00,10.9375,3014.5,0.0,9.26712810168435,87.0745324306113
2020-11-15 23:20:00,10.748372229598594,3016.8,0.0,8.970707613535936,86.86460068221517
2020-11-15 23:40:00,10.792371561795104,3019.1,0.0,9.900257826574393,86.85385414536586
2020-11-16 00:00:00,10.811974575839397,3021.4,0.0,9.635693003411067,85.58198496675914
2020-11-16 00:20:00,10.812595313135452,3023.7,0.0,8.906869363324793,85.61100929199925
2020-11-16 00:40:00,10.6875,3026.0,0.0,10.056838989257812,84.82032775878906
2020-11-16 01:00:00,10.6875,3003.0,0.0,9.845881462097168,88.10102081298828
2020-11-16 01:20:00,10.6875,2999.0,0.0,9.362554550170898,88.98603820800781
2020-11-16 01:40:00,10.6875,3035.0,0.0,9.207677841186523,85.89151000976562
2020-11-16 02:00:00,10.625,2997.0,0.0,8.192952156066895,92.14007568359375
2020-11-16 02:20:00,10.5625,3005.0,0.0,7.853820323944092,91.11772155761719
2020-11-16 02:40:00,10.5,3043.0,0.0,7.656213760375977,90.94834899902344
2020-11-16 03:00:00,10.5,2999.0,0.0,7.600137710571289,90.65995025634766
2020-11-16 03:20:00,10.4375,2999.0,0.0,7.656213760375977,90.04348754882812
2020-11-16 03:40:00,10.375,3027.0,0.0,7.458607196807861,91.7906494140625
2020-11-16 04:00:00,10.375,2999.0,0.0,7.487985610961914,93.04493713378906
2020-11-16 04:20:00,10.3125,2999.0,0.0,7.431904315948486,95.45891571044922
2020-11-16 04:40:00,10.25,3035.0,0.0,7.415882587432861,95.88311004638672
2020-11-16 05:00:00,10.25,2999.0,0.0,7.458607196807861,96.58502960205078
2020-11-16 05:20:00,10.25,2995.0,0.0,7.698938369750977,96.77577209472656
2020-11-16 05:40:00,10.1875,3025.0,0.0,8.091476440429688,96.72541809082031
